# File Name: /shared/data/ui/current_run/DSF Protocol 25-95C X1M3 0-5 K increments_20250110_145235.eds,file_name,,,,,
# Comment: ,,,,,,
# Operator:,,,,,,
# Barcode: ,,,,,,
# Instrument Type:,,,,,,
# Block Type: 384-Well Block,,,,,,
# Instrument Name: ,,,,,,
# Instrument Serial Number: ,,,,,,
# Heated Cover Serial Number: ,,,,,,
# Block Serial Number: ,,,,,,
# Run Start Date/Time: ,,,,,,
# Run End Date/Time: ,,,,,,
# Run Duration: ,,,,,,
# Sample Volume: 20.0,,,,,,
# Cover Temperature: 105.0,,,,,,
# Passive Reference: ,,,,,,
# Melt Stage Number: 2,,,,,,
# Quantification Cycle Method: CT,,,,,,
# Post-read Stage/Step: ,,,,,,
# Analysis Date/Time: ,,,,,,
# Exported On: ,,,,,,
Well,Well Position,Reading Number,Target,Temperature,Fluorescence,Derivative
2,A2,90,DSF,69.32503509521484,12374.94629,196.45022583007812
2,A2,91,DSF,69.82304382324219,12716.76367,203.2099151611328
2,A2,92,DSF,70.32104492,12221.93164,199.8657989501953
2,A2,93,DSF,70.81905364990234,12224.06152,193.55413818359375
2,A2,94,DSF,71.31706237792969,11932.21875,191.02825927734375
2,A2,95,DSF,71.81507110595703,12033.6543,199.86973571777344
2,A2,96,DSF,72.31307983398438,11779.70215,225.28871154785156
2,A2,97,DSF,72.81108093261719,11676.98047,262.8661804199219
2,A2,98,DSF,73.30908966064453,12336.16016,294.1028137207031
2,A2,99,DSF,73.80709838867188,11250.23438,292.37945556640625
2,A2,100,DSF,74.30510711669922,11547.16797,239.37925720214844
2,A2,101,DSF,74.80310821533203,10602.0791,141.92405700683594
2,A2,102,DSF,75.30111694335938,11085.30469,35.70697021484375
2,A2,103,DSF,75.79912567138672,10923.68359,-29.85968018
2,A2,104,DSF,76.29713439941406,11866.29785,-18.33706665
2,A2,105,DSF,76.79514313,10771.95508,71.35565185546875
2,A2,106,DSF,77.29314422607422,11061.22363,200.43740844726562
2,A2,107,DSF,77.79115295410156,11477.39648,307.1685791015625
2,A2,108,DSF,78.28916168,10432.96387,337.32916259765625
